sqft,bedrooms,bathrooms,lot_size,age_years,garage_spaces,neighborhood_quality,distance_to_downtown_mi,has_pool,overall_condition,sale_price
2123,3,2.5,12191,7,2,2,13.5,0,2,257500
1710,4,2.5,1563,1,2,5,1.4,0,3,353000
2221,3,2.5,9182,22,1,2,0.5,0,3,345100
2790,2,1.0,11233,40,1,4,0.5,0,3,375000
1648,2,2.0,16427,4,1,5,2.2,0,2,312100
1648,3,2.5,7073,33,1,1,1.0,0,5,257000
2826,4,2.5,10298,38,2,4,6.1,0,3,394800
2299,4,3.0,1785,49,1,2,15.6,0,2,254800
1495,4,4.0,1500,6,1,1,10.7,0,3,218100
2153,3,2.0,12379,47,1,3,1.9,0,3,318900
1499,3,1.5,8978,8,3,5,4.1,0,3,299400
1497,2,2.0,13714,16,2,1,5.7,0,4,244200
1957,3,3.0,3506,1,1,3,13.3,0,3,319600
556,3,2.5,11080,1,1,3,14.6,0,3,164400
679,2,2.0,16475,25,1,4,19.2,0,4,200400
1435,3,3.0,10679,12,2,1,5.7,0,1,226600
1142,4,2.5,10106,6,0,4,9.5,0,3,254700
2004,4,3.0,9034,4,2,4,0.9,0,4,347800
1210,6,5.0,2716,22,2,4,6.7,0,1,255000
882,5,4.5,14422,0,2,5,2.3,0,3,294400
2753,4,3.5,6557,33,1,4,4.5,0,5,399200
1653,3,2.0,11018,2,2,1,8.0,1,3,282600
1844,4,4.0,2748,4,2,3,2.4,0,3,335300
874,4,2.5,4282,10,1,3,0.5,0,5,210600
1446,2,1.5,14740,13,2,3,0.5,1,2,274800
1872,3,2.5,7611,9,1,3,0.5,1,2,316900
1052,4,4.0,14813,8,1,3,0.5,0,4,250400
2044,3,2.5,8687,66,1,3,0.9,0,4,328400
1410,4,3.0,1632,21,2,5,2.2,0,3,293900
1610,4,3.0,12568,0,2,1,2.0,0,3,238800
1409,2,1.5,6640,11,3,5,34.6,0,4,268700
3004,3,2.5,11795,42,1,3,2.9,0,4,396100
